Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description
American IPA,american-ipa,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606583d713bd9f5ae5cd334c,false,false,Thu Apr 01 2021 08:27:03 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:51:09 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Les IPA sont des bières concentrées sur le houblon, avec des arômes parfumés allant des agrumes au pin et aux fleurs. Ces bières ont tendance à avoir une finale amère et tranchante. Avec le houblon au premier plan, les malts sont utilisés principalement pour ajouter une touche de couleur et un soupçon de douceur.</p><p>Aujourd'hui, certains brasseurs font vieillir leur bière dans des fûts de chêne pour ajouter des tanins et de la vanille au profil de goût. L'expérience de consommation globale est un mélange savoureux, brillant et houblonné, qui est légèrement amer et est devenu un élément de base de nombreux brasseurs artisanaux. Les IPA sont devenues une spécialité des brasseries de la côte ouest dans les années 1990 et se sont répandues dans le reste du pays peu après. Au cours des cinq dernières années, le Great American Beer Festival a enregistré plus d'inscriptions dans la catégorie des IPA américaines que dans tout autre segment.</p><p>Les IPA sont nées de la nécessité de pouvoir expédier de la bière à travers l'équateur, des eaux froides de l'Atlantique aux eaux chaudes des tropiques (souvent 80° F), en direction de la colonie britannique de l'Inde. La solution consistait à ajouter de grandes quantités de houblon inhibiteur de bactéries. L'un des premiers à tirer parti de cette découverte fut l'Anglais George Hodgson, dont la Bow Brewery expédiait chaque année 10 000 barils d'IPA en Inde et plus de 60 000 barils en Amérique du Nord. Le taux d'alcoolémie se situe entre 5 et 7% et l'échelle d'amertume entre 40 et 75 IBU.</p>"
American amber ale,american-amber-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606582f225505346a2704b8b,false,false,Thu Apr 01 2021 08:23:14 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:51:32 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Il s'agit d'un terme générique souvent utilisé pour décrire une bière plus légère qu'une Dark ale, avec des couleurs allant des tons ambrés aux tons rouges. Ces bières ont un style qui tend à mettre l'accent sur les malts, avec un caractère houblonné qui peut être léger ou fort.</p><p>Si les ambers (ambrées) et les red (rouges) ont une structure très similaire, la principale différence réside dans l'apport de malt caramel ou cristal. Les ambrées utilisent le malt cristal à la fois pour la saveur et la couleur. Les rouges sont plus légères et plus sèches et ont un goût de caramel atténué. Les rouges tirent leur couleur des malts Munich ou Vienne rougeâtres. Les rouges ont également tendance à être plus fortes, avec des taux d'alcoolémie de 6,1 à 7+ assez courants. Dans de nombreuses bières rouges, l'épine dorsale maltée est atténuée, avec juste un peu de saveur neutre ou sucrée, et l'accent est mis sur le houblon. Avec la forte saveur de houblon et la forte teneur en alcool, les Reds sont souvent comparées aux IPA.</p><p>Il existe une nouvelle tendance chez certains brasseurs artisanaux qui augmentent l'amertume, l'arôme et la saveur du houblon en la ""doublant"" ou en l'""impérialisant"" en American Double / Imperial Red Ale. Ces ales gonflées peuvent avoir un taux d'alcoolémie compris entre 7,5 et 10,5%, ce qui les classe dans la catégorie des ales fortes.</p>"
American barley wine,american-barley-wine,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658369c01a7fe37e86267e,false,true,Thu Apr 01 2021 08:25:13 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:36 GMT+0000 (Coordinated Universal Time),,
American brown ale,american-brown-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606583b2e8c6a2049fdda536,false,false,Thu Apr 01 2021 08:26:26 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:51:20 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>La bière American Brown Ale, inspirée des Brown Ales et Porters de style anglais, a été créée il y a longtemps par des brasseurs amateurs américains. La couleur du brassin, comme son nom l'indique, est brune, mais peut varier d'un ton cuivré profond à un brun très foncé. Les saveurs et les arômes des American Brown Ales se composent de notes grillées et de noix, de caramel et de chocolat qui proviennent du malt utilisé dans le brassage. Les notes grillées sont équilibrées par des saveurs de terre et d'agrumes provenant du houblon utilisé en arrière-plan.</p><p>La description de base de l'American Brown Ale comprend des caractéristiques telles qu'une teneur modérée en houblon, en malt et en torréfaction, afin de ne pas être confondue avec d'autres styles de bière. La bière a une carbonatation moyenne à élevée et le taux d'alcoolémie tend à se situer entre 4 et 9 %.</p><p>Les ingrédients de la bière Brown Ale sont le houblon, le malt, l'eau et la levure, mais l'utilisation de houblon américain est ce qui distingue l'American Brown Ale des autres bières, car il est plus fort et plus mordant. En se basant sur les directives générales du style, la plupart des gens pensent qu'ils comprennent le goût d'une American Brown Ale de base, mais de nombreux Américains font aujourd'hui beaucoup d'expériences, ce qui laisse plus de clients surpris.</p><p>Ces bières sont mieux servies dans des verres à pinte, le plus souvent le verre à pinte Nonic, qui a une base étroite et une bouche plus large avec un renflement défini juste à côté du sommet du verre. Ce verre est parfait pour servir la bière avec sa mousse de près d'un pouce. Les accords culinaires de l'American Brown Ale comprennent les viandes grillées comme le porc et le steak, ainsi que les légumes grillés et le fromage Gouda fumé résistant.</p>"
American pale ale (APA),american-pale-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606583eb2586fe17857fca6f,false,false,Thu Apr 01 2021 08:27:23 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:50:54 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Les American pale Ale ont un parfum et une saveur de houblon avec une base solide de douceur de malt. Elles sont légères et savoureuses, avec souvent des notes d'agrumes, de pin ou de fleurs. Elles ne sont pas amères et la version américaine a tendance à être de couleur miel.</p><p>Ce qui a commencé dans le ""Vieux Monde"" comme la bitter anglaise, est arrivé en Amérique et a pris une couleur plus claire et le houblon allemand a été remplacé par le houblon Cascade. Parmi les premières brasseries artisanales à s'attaquer à l'American Pale Ale dans les années 1980, on trouve Anchor et la très populaire Sierra Nevada. L'épine dorsale de ce style de bière très populaire, le houblon Cascade, a été développé à l'Université d'État de l'Oregon. Il était peu coûteux à cultiver et était censé avoir un goût proche du houblon allemand. Le géant brassicole Coors a investi massivement dans la plantation de nombreux hectares de ce houblon, mais il l'a finalement rejeté parce qu'il avait une saveur d'agrumes trop sauvage et affirmée qui ne correspondait pas à sa recette. Cette saveur a cependant beaucoup plu au maître brasseur Ken Grossman de la Sierra Nevada, qui a fait de cette pale ale la pierre angulaire de son activité de brassage artisanal. Le taux d'alcoolémie se situe entre 4,5 et 6 % et la température de service préférée est de 10 à 15°C.</p><p>‍</p>"
American porter,american-porter,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658431526eb11a05d561e1,false,true,Thu Apr 01 2021 08:28:33 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:19 GMT+0000 (Coordinated Universal Time),,
American stout,american-stout,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,6065844fbf938b55f117a67d,false,false,Thu Apr 01 2021 08:29:03 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:50:45 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>La bière American Stout est la réinvention par le fabricant de bière américain de la stout originale d'Europe, plus précisément d'Irlande. Ce style familier adopté par les microbrasseurs américains a une couleur, un arôme et une saveur très distincts. Cette bière épaisse et foncée est pratiquement aussi foncée qu'une bière américaine peut l'être et a un goût de café, de chocolat noir et de caramel.</p><p>La bière American Stout présente une quantité substantielle de malts foncés et des quantités généreuses de houblon américain. Les brasseurs américains ont également laissé leur marque sur cette bière en ajoutant des levures pour la production d'esters légers. L'American Stout est étiquetée comme une dry stout pour la différencier des stouts auxquels on a ajouté du lactose ou de la farine d'avoine, et comme une dark stout lorsqu'on ajoute du malt non malté torréfié pour lui donner sa pigmentation foncée. Le goût moyennement houblonné et faiblement sucré d'un stout américain s'apprécie au mieux dans un verre à pinte Nonic. Le taux d'alcoolémie typique des stouts américains se situe entre 5,5 et 8,5 %.</p><p>Les bières Stout américaines sont parfaites pour les saisons plus froides comme l'hiver et l'automne, mais peuvent être appréciées toute l'année. La bière se marie bien avec les viandes fortes comme l'agneau, les soupes et les fromages forts comme le cheddar fort. Le gâteau au café est un dessert agréable à déguster avec la bière, car il met en valeur les notes de chocolat et de café du brassin.</p>"
American strong ale,american-strong-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,60658464c8a34efd88cd4a89,false,false,Thu Apr 01 2021 08:29:24 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:50:34 GMT+0000 (Coordinated Universal Time),Sun Sep 01 2024 16:54:18 GMT+0000 (Coordinated Universal Time),"<p>Ce style de bière aurait été créé par accident par la Stone Brewing Company en fabriquant une Pale Ale avec une surcharge d'ingrédients prévus. On dit que le style American Strong Ale a obtenu son nom parce qu'il est américain et qu'il est décrit comme fort avec ses pourcentages d'alcool élevés, alors que d'autres bières ont obtenu ce nom parce que leur saveur ne correspond à aucune catégorie de style de bière existante.</p><p>La couleur des American Strong Ales varie de l'ambre modéré au presque brun, mais lorsqu'on la tient à la lumière du soleil, elle révèle une teinte rouge vibrante. Le brassin est moyennement corsé, malté, houblonné et complexe en termes de saveurs et d'arômes. Les arômes produits par le houblon dans les American Strong Ales rappellent les agrumes, les cerises et le pin. Bien sûr, ces parfums sont tous superposés aux lourds arômes de malt de cristal foncé et de caramel. Dans l'ensemble, l'American Strong Ale est plus centrée sur le malt que sur le houblon, mais elle n'est pas comparable à la maltosité d'une barleywine.</p><p>Le taux d'alcoolémie peut varier de 7 à 25 %. Elle est servie de préférence dans un verre à snifter, à large cuve et à large pied, avec un goulot effilé, laissant de la place pour faire tourner le brassin et recueillir les arômes. La température de service des American Strong Ales est généralement plus élevée que celle des brassins plus faibles car elles sont destinées à être sirotées lentement et appréciées pour leur complexité, alors que des températures froides dilueraient ces saveurs et arômes complexes.</p><p>Les plats aux saveurs riches et caramélisées comme le canard rôti, les côtelettes de porc, les pizzas au fromage épais, les plats mexicains en sauce et les pâtes riches en marinara se marient bien avec les American Strong Ales.</p>"
Baltic porter,baltic-porter,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606584766a1fce4144f4e9f9,false,true,Thu Apr 01 2021 08:29:42 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:43 GMT+0000 (Coordinated Universal Time),,
Belgian blond ale,belgian-blond-ale,606582beec97b349450249f8,653acfd9e882f528b3ed2e72,606584872586fe1d3b7fcb0b,false,true,Thu Apr 01 2021 08:29:59 GMT+0000 (Coordinated Universal Time),Wed Apr 07 2021 17:23:14 GMT+0000 (Coordinated Universal Time),,
