Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Short Name,Description,Photo,Ingredients,Color,Bitterness,Alcohol,Brasserie,Famille,Style
Altair - Brasserie La Voie Lactée,altair-brasserie-la-voie-lactee,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,603fde7d727d25f76f84c243,false,false,Wed Mar 03 2021 19:07:41 GMT+0000 (Coordinated Universal Time),Wed Mar 03 2021 19:11:22 GMT+0000 (Coordinated Universal Time),Wed Mar 03 2021 19:12:09 GMT+0000 (Coordinated Universal Time),Ambrée de la Brasserie la Voie Lactée,"<p>Ambrée aux arômes de malt, biscuit et caramel</p><p>‍</p>",,,,,6,brasserie-la-voie-lactee,amber-ale,
Ambrée - Brasserie Dimezell,ambree-brasserie-dimezell,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6085e1b3db955882adfddc77,false,false,Sun Apr 25 2021 21:40:03 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:40:03 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:53:17 GMT+0000 (Coordinated Universal Time),,"<p>Ambrée de caractère a la fois complexe et équilibrée plutôt harmonieuse en bouche, légère amertume avec des notes de caramel et de pain grillé.</p>",https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6085e1459520fa9964be8787_ambree4bdcoup%C3%A9.png,,,,,brasserie-dimezell,,
Ambrée de Noël - Dimezell,ambree-de-noel-dimezell,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6085e21e71f01d6a8ef1d7fe,false,false,Sun Apr 25 2021 21:41:50 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:42:54 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:53:17 GMT+0000 (Coordinated Universal Time),,,https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6085e20f35caee3f3eb36339_ambr%C3%A9eno%C3%ABl7%20Hiver.png,,,,,brasserie-dimezell,,
American Pale Ale - Dimezell,american-pale-ale-dimezell,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6085e2b67ad61700631de82c,false,false,Sun Apr 25 2021 21:44:22 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:44:22 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:53:17 GMT+0000 (Coordinated Universal Time),,,https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6085e2ad614bb726b60d13ff_blonde07bdcoup%C3%A9.png,,,,,brasserie-dimezell,,
Andromède - Brasserie La Voie Lactée,andromede-brasserie-la-voie-lactee,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,603fdd913fa1fc17583df8ee,false,false,Wed Mar 03 2021 19:03:45 GMT+0000 (Coordinated Universal Time),Wed Mar 03 2021 19:11:31 GMT+0000 (Coordinated Universal Time),Wed Mar 03 2021 19:12:09 GMT+0000 (Coordinated Universal Time),Blonde Andromede,<p>Blonde légère aux aromes de levure</p><p>‍</p>,,,,,5.5,brasserie-la-voie-lactee,blond,
Armoric Pale Ale - Dimezell,armoric-pale-ale-dimezell,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6085e29fb0c917ccfd25a58a,false,false,Sun Apr 25 2021 21:43:59 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:43:59 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:53:17 GMT+0000 (Coordinated Universal Time),Blonde,,https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6085e27fdb95586224fddd90_blonde02-04bdcoup%C3%A9.png,,,,,brasserie-dimezell,,
Bière Blonde aux algues - Tiens Bon La Barre,biere-blonde-aux-algues-tiens-bon-la-barre,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6013cbaeb94ff0928c23a9c6,false,false,Fri Jan 29 2021 08:47:42 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:44:59 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:45:04 GMT+0000 (Coordinated Universal Time),Bière Blonde aux algues,"<p>Bière blonde légèrement acidulée, au subtil goût d'algue qui ramène beaucoup de faîcheur !</p>",https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6013cb07b1ae324f80f802b1_biere-blonde-aux-algues-tiens-bon-la-barre.JPG,"Eau, Malt d'orge, Houblon, Sucre, Levure, Algue",,,5,brasserie-tiens-bon-la-barre,blond,
Bière Blonde islandaise - Tiens Bon La Barre,biere-blonde-islandaise-tiens-bon-la-barre,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,601442bd3f1d9471ea899b80,false,false,Fri Jan 29 2021 17:15:41 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:32:23 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:33:41 GMT+0000 (Coordinated Universal Time),Bière Blonde islandaise,"<p>Relevée à la mousse et au lichen directement importés d'Islande, c'est une vraie surprise !</p>",https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/601443267700b84acd0a1aa0_DSC_0596.JPG,"Eau, Malt d'orge, Houblon, Sucre, Levure, Mousse, Lichen",,,5,brasserie-tiens-bon-la-barre,blond,
Bière au Sarrasin et au Miel - Tiens Bon La Barre,biere-au-sarrasin-et-au-miel-tiens-bon-la-barre,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,60156ff99c9091ea5fff4acb,false,false,Sat Jan 30 2021 14:40:57 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:32:16 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:33:41 GMT+0000 (Coordinated Universal Time),Bière au Sarrasin et au Miel,<p>Une bière éphémère au goût puissant et surprenant qui saura ravir ceux qui aiment les bières légèrement sucrée avec du coffre !</p>,https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/60156fd8eaca0a3da55e3d18_DSC_0598.JPG,"Eau, Malt d'orge, Houblon, Sucre, Levure, Sarrasin, Miel",,,5,brasserie-tiens-bon-la-barre,,
Blanche - Dimezell,blanche-dimezell,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6085e2482af0fcff7b6807eb,false,false,Sun Apr 25 2021 21:42:32 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:42:32 GMT+0000 (Coordinated Universal Time),Sun Apr 25 2021 21:53:17 GMT+0000 (Coordinated Universal Time),,,https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6085e232cb721f53865f9b86_blanche04bdcoup%C3%A9.png,,,,,brasserie-dimezell,,
Blanche / Weizen - Le Brasseur Bavarois,blanche-weizen-le-brasseur-bavarois,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6015712a25e91b02c015294a,false,false,Sat Jan 30 2021 14:46:02 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:32:11 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:33:41 GMT+0000 (Coordinated Universal Time),Blanche / Weizen,"<p>Une blanche ambrée, mais qu'est-ce que c'est que ce truc ? Quand on vous dit que Christopher veut vous faire comprendre la bière et ses subtilités, on y est ! </p><p>Léger et frais avec un léger goût de banane. Idéal pour les chaudes journées !</p>",https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/6019111795454f24ddbdfde0_blanche-weizen-brasseur-bavarois.JPG,"Eau, Malt d'orge, Malt de froment, Houblon, Levure",,,5,le-brasseur-bavarois,,
Blonde / Helles - Le Brasseur Bavarois,blonde-helles-le-brasseur-bavarois,6013c9345416bc50d9a62024,653acfd9e882f528b3ed2e72,6013cacdee900d03186918ed,false,false,Fri Jan 29 2021 08:43:57 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:32:41 GMT+0000 (Coordinated Universal Time),Wed Feb 10 2021 09:33:41 GMT+0000 (Coordinated Universal Time),Blonde / Helles,"<p>Une bière allemande dans toute sa splendeur :à base d'orge, de blé/froment, avec un juste équilibre entre la sucrosité apportée par les malts torréfiés et le côté floral &amp; épicé dû à l'utilisation de houblons ""nobles"".</p>",https://uploads-ssl.webflow.com/5f844be21799777e06b3683f/60191120d870f9da0e82c4b6_blonde-helles-brasseur-bavarois%20(2).JPG,"Eau, Malt d'orge, Malt de froment, Houblon, Levure",,,5,le-brasseur-bavarois,,
