Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,aaMin,aaMax,baMin,baMax,Usage,stability,oilQuantity,cohumulone,caryophyllene,humulene,myrcene,Aromas
Admiral,admiral,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b773a055706d452d8d95,false,false,Tue May 18 2021 12:47:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:23:31 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Admiral est une excellente variété de houblon de mi-saison dérivée du grand-parent Challenger et du parent probable Northdown. Sa lignée exacte n'est pas claire. Originaire de Wye College, en Angleterre, il a été présenté au monde de la brasserie en 1998 comme un remplacement potentiel à haute teneur en alpha ou un ajout complémentaire au houblon Target. Il se caractérise par une teneur en acide plus élevée que celle de ses aînés, possède des qualités d'amertume agressives mais douces et se targue d'une résonance d'orange-citron et d'herbes qui le rend parfait pour les Pale Ales et les ESB plus amères. Chapel Down utilise l'Admiral presque exclusivement dans sa Curious Porter en raison de ses capacités amérisantes exceptionnelles.",13,16,4.5,6,Amérisant,Excellente : 85%@20°C après 6 mois,1.0 - 1.7,37 - 45,6.8 - 7.2,23 - 23,39 - 48,agrumes; herbeux; orange-6; citron; amertume-b
African Queen,african-queen,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b7742db4320ab3d8fbbc,false,false,Tue May 18 2021 12:47:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:23:32 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Doux, agréable et légèrement épicé, l'Outeniqua est un excellent houblon à haut degré d'amertume provenant du pays du lait et du miel, surnom de la région d'Afrique du Sud où il est cultivé. Utilisé principalement au niveau local, l'Outeniqua présente un profil d'huile bien équilibré et un arôme houblonné puissant et percutant. L'Outeniqua est également la mère de la variété à haute teneur en alpha, Southern Star.",12,17,3.9,5.6,Double usage,,1.3,26 - 30,12.8,21.4,28.4,piment; agrumes; cassis; fruit-a-noyau; myrtille; bubble-gum; groseille; citronnelle
Agnus,agnus,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b77497d8370d39c0522f,false,false,Tue May 18 2021 12:47:48 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:23:33 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Agnus est le premier houblon amérisant à haute teneur en alpha à provenir de la République tchèque. Son nom provient du sélectionneur de houblon tchèque Frantisek Beranek, dont le nom de famille traduit en latin est Agnum - ou Agneau en anglais. Enregistré en 2000 et commercialisé l'année suivante, Agnus est un houblon amérisant aux fortes notes épicées et herbacées, que certains ont comparé à Nugget et Magnum. Sa lignée comprend un ensemble complexe de variétés convoitées, dont Bor, Fuggle, Saaz, Sladek et Northern Brewer. Bien qu'il s'agisse principalement d'un houblon amérisant, il est utile en tant qu'ajout de saveur et sa teneur abondante en huile peut même le rendre approprié pour le houblonnage à sec.",9,14,4,6.6,Double usage,Moyenne à mauvaise,,,,,,herbeux; epice
Ahil,ahil,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b7753c911f10396a8990,false,false,Tue May 18 2021 12:47:49 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:23:35 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Le houblon Ahil est quelque peu difficile à trouver, sa culture en Slovénie ayant été sévèrement réduite. Il y a également eu une certaine confusion quant à sa véritable classification. Il a été introduit comme houblon superstyrien en 1972 par le Dr Tone Wagner, sélectionneur de houblon à l'Institut de recherche sur le houblon de Zalec. En réalité, il ne s'agit pas d'un houblon Superstyrian, mais d'un hybride, un croisement entre le Brewer's Gold et un mâle sauvage, qui n'était destiné qu'à avoir un style semblable à celui du Superstyrian. Utilisée à l'origine principalement comme houblon aromatique, la production d'Ahil a diminué en Slovénie en raison de la popularité de la Styrian Golding, plus ancienne, mieux établie et plus authentique. Il a été initialement produit dans le but de créer un houblon avec un alpha élevé et un profil aromatique intense.",8.5,11.5,3.5,5.2,Double usage,Moyenne : 50 @ 20°C à 6 mois,,,,,,floral
Ahtanum™,ahtanumE284A2,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3985eb938236c5ebd9c53,false,false,Tue May 18 2021 10:35:10 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:41:05 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Ahtanum™, élevé dans la vallée de Yakima, est doux et poivré avec un aspect pin-citron. Chaudement aromatique et modérément amère, Ahtanum™ est un houblon de distinction. Il est souvent comparé au Cascade, même si, sans aller aussi loin, il est plus logique de dire que le Cascade peut être un substitut acceptable. En comparaison, Ahtanum™ est moins amer, ses acides alpha sont plus faibles et son essence de pamplemousse est nettement plus prononcée. Elle s'apparente vraiment plus à la Willamette, avec ses notes de citron et de pamplemousse. Le caractère distinct d'agrume d'Ahtanum l'a conduit à être utilisé comme houblon singulier dans la Blood Orange Heffeweisen de Dogfish Head et la Pale Ale de Stone Brewing.",4,7,5,6.5,Aromatique,Moyenne : 55 @ 20°C à 6 mois,0.8 - 1.2,30 - 35,9 - 12,16 - 16,50 - 55,floral; poivre; resineux; pamplemousse; terreux
Alliance,alliance,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b7752db8d884f59d04f5,false,false,Tue May 18 2021 12:47:49 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:23:36 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Alliance est une fille de Whitbread Golding et a été développée au Wye College aux côtés de Progress au début des années 1960. On ne sait pas si elle a été cultivée commercialement à cette époque. Elle a bénéficié d'un rendement élevé en Angleterre, mais celui-ci était beaucoup plus irrégulier dans les parcelles américaines. À l'origine, elle a été sélectionnée pour remplacer Fuggle, mais comme elle n'a apporté qu'une amélioration marginale, elle a été considérée comme un échec.",4.5,7.5,2,5,Double usage,Très bonne : 75 @ 20°C à 6 mois,,,,,,
AlphAroma,alpharoma,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b776beb16243a63a4113,false,true,Tue May 18 2021 12:47:50 GMT+0000 (Coordinated Universal Time),Fri Aug 23 2024 17:08:42 GMT+0000 (Coordinated Universal Time),,"Rakau, ou AlphAroma comme il était connu auparavant, a été développé en Nouvelle-Zélande. Vivant dans son habitat sans maladie, le Rakau présente une forte concentration de myrcène, ce qui lui permet de se marier à merveille avec les Pale Ales américaines houblonnées à sec. Elle a été initialement obtenue à la fin des années 1970 à partir de Smooth Cone par pollinisation ouverte, mais elle n'a été commercialisée qu'en 1983. Il a été réintroduit sur le marché sous un nouveau nom en 2007. Selon New Zealand Hops Limited, AlphAroma n'existe plus en tant que variété commerciale. Malgré cela, elle est actuellement cultivée et vendue sous son ancien nom par Dutchess Hops de New York qui l'a plantée aux États-Unis en 2013.",5.5,11,2.5,4.8,Double usage,Bonne : 70 @ 20°C à 6 mois,,,3.4 - 7.7,12.2 - 12.2,44.3 - 65.2,fruit-de-la-passion; peche
Amallia,amallia,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39860e3b17dbb4498bb94,false,false,Tue May 18 2021 10:35:12 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:34 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Originaire du Nouveau-Mexique, l'Amallia est une variété neomexicaine à l'arôme profondément terreux et aux saveurs prononcées d'agrumes d'orange. Audacieuse et unique, elle est considérée comme bien adaptée aux ales brunes ou foncées, tant pour son amertume que pour son arôme. Cette variété a été testée dans le Michigan par des chercheurs de l'université d'État du Michigan en 2014.",5,9,4,8.5,Double usage,,,,,,,agrumes; terreux
Amarillo®,amarilloC2AE,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a3b7777693e752fe23cfc5,false,false,Tue May 18 2021 12:47:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:29:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"Le houblon Amarillo™ VGXP01 est utilisé dans le monde entier où sa teneur ultra élevée en myrcène crée une délicieuse saveur d'agrume orange. Une variété de Virgil Gamache Farms, Inc. Amarillo™ VGXP01 est très acide, ce qui en fait un choix parfait pour les ESB et les Pale Ales.",8,11,6,7,Aromatique,Excellente : 95 @20° à 6 mois,1.5 - 1.9,21 - 24,2 - 4,9 - 9,68 - 70,agrumes; orange-6; epice; floral
Amethyst,amethyst,60964fa1cba7f1549d7dff1b,653acfd9e882f528b3ed2e72,60a39862a620971d0b5becdf,false,false,Tue May 18 2021 10:35:14 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:09:35 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time),"L'Amethyst est un houblon aromatique originaire de la République tchèque et est un dérivé du Saaz. Il se caractérise par un pourcentage d'acide alpha particulièrement bas et des notes de terre, d'agrumes et d'épices. Le profil aromatique de l'Amethyst convient bien aux lagers corsées et aux ales pâles.",2,6,7,8,Aromatique,,,,,,,agrumes; epice; terreux
