Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Abricot,abricot,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1ea187e290698e08bb9,false,false,Tue May 18 2021 13:32:26 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:26 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Acre,acre,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2eb0d3e667c254d2dab,false,false,Tue May 18 2021 13:36:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Agrumes,agrumes,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3beecf4000a0264845acc,false,false,Tue May 18 2021 13:19:40 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:19:40 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Ail,ail,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2ef66423784594480ad,false,false,Tue May 18 2021 13:36:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Amande,amande,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1ecab43687c427ef0ed,false,false,Tue May 18 2021 13:32:28 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:28 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Amertume,amertume,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1b1ab43684ec67eb2b7,false,false,Tue May 18 2021 13:31:29 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:31:29 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Amertume,amertume-b,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1dd0cb9235231620ccb,false,false,Tue May 18 2021 13:32:13 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:13 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Ananas,ananas,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1e799b58fe1ee563b27,false,false,Tue May 18 2021 13:32:23 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:23 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Aneth,aneth,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f5f52ac7e646708469,false,false,Tue May 18 2021 13:36:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:53 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Anisé,anise,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2eb6db1968224bb6959,false,false,Tue May 18 2021 13:36:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:43 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
